Naam;Type;URL;Beheerder;Adres;Postcode;Plaats;Aantal plaatsen;Latitude;Longitude;Bijzondere openingstijden;Opening Inrijden;Sluiting Inrijden;Opening Uitrijden;Sluiting Uitrijden;Dagprijs;opening_times;Inclusief OV;PrijsPerTijdseenheid;Tijdeenheid (min);Gratis minuten;Opmerkingen
Qpark Eurocenter;Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1094/parkingdetail/parkingid/607;Qpark Eurocenter;Barbara Strozzilaan 342;1083HN;Amsterdam;;52.3357396;4.8889116;;0:00;0:00;0:00;0:00;40.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;2.00;25;0;
Qpark Mahler;Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1094/parkingdetail/parkingid/610;Qpark Mahler;Claude Debussylaan 42;1082MD;Amsterdam;;52.3378064;4.8720292;;7:00;0:00:00;0:00;0:00;48.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0700"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;2.00;21;0;
Olympisch Stadion;Parkeergarage;http://www.p1.nl/parkeren/parkeergarage-olympisch-stadion/;P1 Parkeergarage Olympisch Stadion;Olympisch Stadion 44;1076DE;Amsterdam;;52.3440266;4.8539215;;0:00;0:00;0:00;0:00;50.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;0.50;9;0;
Qpark Oranjekwartier;Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1094/parkingdetail/parkingid/1587;Qpark Amsterdam Oranjekwartier;Carnapstraat;1062;Amsterdam;;52.3539411;4.8392024;;7:00;22:00;0:00;0:00;18.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0700"", open_out : ""0000"", close_in : ""2200"", close_out : ""0000""}]}";Nee;1.80;60;0;
Bomengarage Boven 't IJ (P2);Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_noord/p2-bomengarage/;Bomengarage Boven 't IJ (P2);Buikslotermeerplein 237;1025 XB;Amsterdam;;52.3995789;4.9397988;;8:00;0:00;0:00;0:00;10.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0800"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;0.20;12;0;
Qpark Westerpark;Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1094/parkingdetail/parkingid/613;Qpark Amsterdam Westerpark;Van Bleiswijkstraat 8;1051DG;Amsterdam;;52.3846887;4.8643313;;7:00;0:00;0:00;0:00;30.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0700"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;2.00;35;0;
Qpark Europarking;Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1094/parkingdetail/parkingid/608;Qpark Europarking;Marnixstraat 250;1016TL;Amsterdam;;52.3699218;4.8766781;;0:00;0:00;0:00;0:00;40.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;2.00;26;0;
Qpark Byzantium;Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1094/parkingdetail/parkingid/605;Qpark Amsterdam Byzantium;Tesselschadestraat 1;1054ET;Amsterdam;;52.3621738;4.8802363;;0:00;0:00;0:00;0:00;68.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;2.00;20;0;
Piet Heingarage;Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_centrum/piet_heingarage/;Parkeergebouwen Piet Heingarage;Piet Heinkade 59;1019GM;Amsterdam;;52.3773883;4.9173751;;0:00;0:00;0:00;0:00;47.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;0.50;7;0;
Oosterdok Parking;Parkeergarage;http://www.parkingcentrumoosterdok.nl/;Parking Centrum Oosterdok;Oosterdoksstraat 150;1011AD;Amsterdam;;52.3764981;4.9085744;;0:00;0:00;0:00;0:00;10.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;1.50;20;0;Dag tarief van EUR 10 geldt vanaf 5 uur parkeren. Daarvoor geldt de uurprijs.
